county,foundation_name,org_nbr,person_name,role
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Göran  Lindgren,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Lena Malm,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Lisbeth  Andersson,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Stig Sörlin,Styrelseledamot
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Anna Karlsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Strömsundshemmet,897000-1775,Lennart Ruumensaari,Styrelsesuppleant
norrbotten,Stiftelsen Teknikens hus,897001-0420,Anders Josefsson,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Bo Krogvig,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Emma Breheim,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Janus  Brandin,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Jonna Barsk,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Niklas Letho,Styrelseledamot
norrbotten,Stiftelsen Teknikens hus,897001-0420,Pär Weihed,Styrelseledamot och ordförande
norrbotten,Stiftelsen Teknikens hus,897001-0420,Bengt-Olov Innala,Styrelsesuppleant
norrbotten,Stiftelsen Teknikens hus,897001-0420,Nihad Zara,Styrelsesuppleant
norrbotten,Stiftelsen Teknikens hus,897001-0420,Ulrika Sundquist,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Abukar Omarsson,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Arnold  Eliseussen,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Sanna Laiho,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Staffan Landström,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Stine Feie Haram,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Virpi Anunti,Styrelseledamot
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Arnold Eliseussen,Styrelseledamot och ordförande
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Elina Keloneva,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Helena Olsson,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Minna  Vasenius,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Pontus Ringborg,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Solveig Tesdal ,Styrelsesuppleant
norrbotten,Stiftelsen Utbildning Nordkalotten,897600-5044,Tomas Mörtberg,Styrelsesuppleant
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Caroline Jonsson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Daniel Wikberg,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Eva-Clara Viklund,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Gunnar Olofsson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Leif  Boström,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Marita Fransson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Stina  Jonsson,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Ulf Ejelöv,Styrelseledamot
norrbotten,Stiftelsen Norrlandsfonden,897000-3003,Gunnar Olofsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Anders Burman,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Angela Stenberg,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Charlotta Hällerstrand,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Daniel Ek-Löfmark,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Maj Stenberg,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Tomas Utterström,Styrelseledamot
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Daniel Ek-Löfmark,Styrelseledamot och ordförande
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Gunnel Ek Löfmark,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Lars-Nila Lasko,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Mona Nilsson,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Rutger Lundgren,Styrelsesuppleant
norrbotten,Stiftelsen Slagnäs Fritid och Näringsliv,899100-3537,Åsa Marklund,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Bernt Drugge,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Eva-Britt Larsson,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Jan-Olov Bäcklund,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Kenneth Backgård,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Lena Nilsson,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Rigmor Åström,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Urban  Sundbom,Styrelseledamot
norrbotten,Stiftelsen BodenBo,898500-0622,Jan-Olov Bäcklund,Styrelseledamot och ordförande
norrbotten,Stiftelsen BodenBo,898500-0622,Catrine Granström Sun,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Erika Sjöö,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Erland Lindström,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Glenn Blom,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Inger Mattson,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Johan Sellin,Styrelsesuppleant
norrbotten,Stiftelsen BodenBo,898500-0622,Mikael Renberg,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Bengt Melin,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Erik Quist,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Ulrica Andersson,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Åsa Larsson,Styrelseledamot
norrbotten,Stiftelsen Arjeploghus,899100-0855,Mats Abrahamsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Arjeploghus,899100-0855,Anna Alnqvist,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Anna-Lena Le Goascogne,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Per Lampinen,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Philip  Mattsson,Styrelsesuppleant
norrbotten,Stiftelsen Arjeploghus,899100-0855,Rolf Laestander,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Anders Erlind Fjällås,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Dan Brändström,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Erik Holger Hägglöf,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Isak Utsi,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Lars Holmgren,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Madelene Aheinen,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Ola Kellgren,Styrelseledamot
norrbotten,Stiftelsen Silvermuséet,899100-2992,Lars Holmgren,Styrelseledamot och ordförande
norrbotten,Stiftelsen Silvermuséet,899100-2992,Anna Thorfve,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Britta Flinkfeldt-Jansson,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Britta Flinkfeldt-Jansson,Styrelsesuppleant
norrbotten,Stiftelsen Silvermuséet,899100-2992,Jeanette Lindahl Ranfjäll,Styrelsesuppleant
norrbotten,Stiftelsen Energitekniskt Centrum i Piteå,898800-7905,Charlotta Johansson,Styrelseledamot
norrbotten,Stiftelsen Energitekniskt Centrum i Piteå,898800-7905,Maria Palo Isaksson,Styrelseledamot
norrbotten,Stiftelsen Energitekniskt Centrum i Piteå,898800-7905,Anders Lundqvist,Styrelseledamot och ordförande
norrbotten,Stiftelsen Barnens Väl,897001-6724,Kati Jääskeläinen,Styrelseledamot
norrbotten,Stiftelsen Barnens Väl,897001-6724,Mehmet Tekin,Styrelseledamot och ordförande
norrbotten,Stiftelsen Barnens Väl,897001-6724,Tim Larsson,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Carina Tornberg,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Daniel Henriksson,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Sarah Karlsson,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Susanna Karlsson,Styrelseledamot
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Leif Nilsson,Styrelseledamot och ordförande
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Caroline Sjödin Larsson,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Maria Edfast,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Marianne Jakobsson,Styrelsesuppleant
norrbotten,Stiftelsen Överkalixbostäder,898200-0666,Siv Larsson,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Birgitta Ahlqvist,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Fredrik Bruhn,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Jimmy Stenman,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Lena Aronsson,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Nicklas Nyman,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Tina Aghajari,Styrelseledamot
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Andreas Hedgren,Styrelseledamot och ordförande
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Ingeborg Isaksson,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Lena Nilsson,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Linn Thysell,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Maritha Meethz,Styrelsesuppleant
norrbotten,Stiftelsen Sunderby folkhögskola,897000-2898,Robert Forsberg,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Börje Rytiniemi,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Knut Omark,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Roger Eriksson,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Theresa Palo,Styrelseledamot
norrbotten,Stiftelsen Matarengihem,897600-1936,Tomas Mörtberg,Styrelseledamot och ordförande
norrbotten,Stiftelsen Matarengihem,897600-1936,Elisabeth Holmgren,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Lennart Mansikka,Styrelsesuppleant
norrbotten,Stiftelsen Matarengihem,897600-1936,Malin Routuvaara,Styrelsesuppleant
